customer_id,tenure_months,monthly_charges,contract_type,payment_method,support_tickets,churned
C00000,7,85.19,One year,UPI,0,0
C00001,55,106.75,Month-to-month,Card,0,0
C00002,47,65.39,Month-to-month,Bank,0,0
C00003,32,44.78,Month-to-month,Bank,1,0
C00004,31,,One year,UPI,5,0
C00005,61,94.6,Month-to-month,Card,1,0
C00006,7,101.66,Two year,Bank,3,0
C00007,50,30.53,One year,Card,4,1
C00008,15,26.66,Two year,UPI,2,0
C00009,7,79.44,Two year,Cash,1,1
C00010,38,34.62,One year,Bank,0,0
C00011,70,102.47,Month-to-month,Bank,3,0
C00012,53,51.03,Two year,Card,4,1
C00013,55,,Month-to-month,UPI,2,1
C00014,51,,Month-to-month,Cash,3,0
C00015,56,,Two year,Bank,1,0
C00016,37,48.47,One year,Bank,0,0
C00017,10,35.36,Month-to-month,Cash,1,0
C00018,60,,One year,Cash,1,0
C00019,32,22.11,One year,Bank,2,1
C00020,36,25.54,Two year,Bank,4,0
C00021,27,37.46,Two year,Cash,4,0
C00022,13,25.34,Month-to-month,Cash,0,0
C00023,66,79.11,Month-to-month,Cash,2,0
C00024,56,88.07,One year,Card,4,0
C00025,46,59.36,Month-to-month,Bank,3,0
C00026,29,51.8,Month-to-month,Cash,2,0
C00027,59,70.45,Month-to-month,UPI,6,0
C00028,39,107.5,Month-to-month,Cash,3,0
C00029,32,105.11,Two year,Bank,4,0
C00030,32,24.35,Month-to-month,Cash,2,1
C00031,17,38.15,Month-to-month,Card,0,0
C00032,7,43.67,Two year,Card,3,0
C00033,40,44.94,Month-to-month,Cash,1,0
C00034,64,77.12,Two year,UPI,3,0
C00035,5,61.63,Month-to-month,UPI,3,0
C00036,61,24.93,Month-to-month,Cash,2,0
C00037,59,57.36,Month-to-month,Card,1,0
C00038,20,72.38,Two year,UPI,1,1
C00039,45,30.17,One year,Bank,4,0
C00040,12,103.35,One year,Bank,4,0
C00041,54,25.2,Month-to-month,UPI,0,0
C00042,50,,Month-to-month,Cash,3,1
C00043,26,,One year,Cash,3,1
C00044,5,104.36,Month-to-month,Bank,2,0
C00045,69,110.27,One year,UPI,0,0
C00046,32,117.96,Two year,Bank,1,0
C00047,64,,Two year,Cash,3,1
C00048,49,97.95,One year,UPI,1,0
C00049,56,84.25,Month-to-month,Cash,2,0
C00050,54,97.9,Month-to-month,Card,2,0
C00051,14,33.46,Two year,Bank,6,0
C00052,26,73.61,One year,Bank,6,1
C00053,34,71.42,One year,UPI,2,0
C00054,36,105.76,One year,Cash,1,0
C00055,4,66.28,Month-to-month,Bank,0,0
C00056,39,58.51,Two year,Cash,4,0
C00057,11,83.96,Two year,Cash,1,0
C00058,53,46.65,Two year,Bank,2,0
C00059,49,33.98,Two year,Bank,3,0
C00060,66,67.79,Month-to-month,UPI,1,0
C00061,53,61.69,Month-to-month,Cash,1,0
C00062,27,43.26,Month-to-month,Card,3,0
C00063,69,,Two year,Cash,5,0
C00064,30,,One year,Cash,1,0
C00065,24,,One year,Cash,4,0
